PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,21.39,24.46,25.78,28.39,26.23,23.39,23.4,22.34,22.9,21.55,20.22,18.62,23.21
T2M,2001,21.1,24.65,27.75,26.13,25.69,23.95,23.48,23.19,23,21.99,20.74,18.9,23.37
T2M,2002,21.1,22.47,27.11,29.66,27.1,23.82,23.91,23.62,24.48,22.9,21.43,20.23,23.99
T2M,2003,22.11,25.61,27.09,28.46,29.17,25.15,23.81,23.46,23.57,22.64,20.92,20.53,24.37
T2M,2004,22.06,23.71,27.3,28.47,24.44,23.58,22.46,22.58,22.31,22.03,20.07,19.05,23.16
T2M,2005,21.55,24.12,27.27,26.59,27.41,24.06,23.11,22.8,22.63,21.99,19.15,18.95,23.3
T2M,2006,18.62,20.15,24.87,28.3,26.35,23.84,23.47,23.64,23.79,23.69,22.11,20.15,23.26
T2M,2007,21.61,23.55,27.33,27.74,26.25,24.36,23.26,22.43,22.28,21.65,19.33,19.24,23.25
T2M,2008,19.73,22.92,23.93,26.76,27.19,23.96,23.19,22.55,22.21,21.91,20.07,18.67,22.75
T2M,2009,19.55,23.09,26.3,28.5,27.02,23.44,23.15,23.54,23.06,21.87,21.55,21.01,23.51
T2M,2010,21.67,24.69,27.81,28.15,26.86,24.22,22.9,23.08,22.64,22.45,21.29,19.51,23.76
T2M,2011,20.12,21.99,26.28,27.47,26.74,24.4,23.35,23.16,23.41,23.01,21.23,20.62,23.49
T2M,2012,21.62,24.22,27.48,28.48,26.94,25.55,24.51,23.73,23.66,22.87,21.79,21.64,24.37
T2M,2013,22.45,23.83,27.18,29.37,26.86,23.03,22.43,22.96,22.29,22.23,20.88,19.76,23.6
T2M,2014,21.23,23.97,26.12,29.58,27.37,25.49,23.83,23.33,23.36,22.37,20.86,21.28,24.06
T2M,2015,21.6,23.06,25.93,26.95,26.04,24.26,24.82,24.52,24.28,23.11,21.12,20.68,23.87
T2M,2016,20.76,24.49,27.4,30.97,27.46,23.74,23.47,23.73,23.58,23.9,23.4,21.05,24.48
