PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,24.47,26.55,27.54,30.9,31.55,30.18,29.4,28.41,28.4,26.76,25.82,23.89,27.82
T2M,2001,24.4,26.35,29.69,29.51,32.25,30.83,29.91,29.62,28.44,26.99,25.71,24.08,28.15
T2M,2002,24.05,24.81,27.87,31.02,32.4,30.85,31.52,29.51,29.23,27.08,25.26,23.69,28.12
T2M,2003,24.17,26.7,28.66,31.02,33.05,31.65,28.64,28.28,28.82,27.39,25.69,24.64,28.23
T2M,2004,24.42,25.71,28.65,31.08,28.73,29,28.46,29.8,27.83,27.01,25.36,23.8,27.49
T2M,2005,24.69,26.26,29.15,28.73,30.48,30.97,30.25,29.69,28.73,27.04,24.73,24.05,27.9
T2M,2006,23.48,24.58,28.16,30.84,31.24,30.03,30.37,29.42,28.34,27.37,25.49,24.26,27.82
T2M,2007,24,25.53,28.37,30.26,32.03,30.38,29.24,27.84,27.51,27.01,24.96,24.3,27.63
T2M,2008,23.57,25.61,26.63,28.87,32.45,30.27,29.8,28.88,28.47,27.28,25.77,24.24,27.65
T2M,2009,23.77,25.48,28.02,30.73,31.69,31.19,31.01,29.12,28.64,28,26.25,24.67,28.23
T2M,2010,24.16,25.37,28.73,31.26,31.62,29.59,28.44,28.66,27.89,27.69,26.14,24.34,27.83
T2M,2011,23.94,24.94,27.51,29.58,31.21,31.54,29.36,28.73,28.3,27.54,25.6,24.32,27.73
T2M,2012,23.65,25.03,28.75,30.48,32.09,31.31,29.62,28.93,28.27,27.32,25.33,24.82,27.98
T2M,2013,24.44,25.73,27.94,31.12,31.93,29.58,28.85,28.56,27.75,27.3,25.76,24.37,27.79
T2M,2014,24.58,25.77,28.48,30.78,30.94,31.21,30.02,28.9,28.12,27.3,25.14,24.4,27.98
T2M,2015,23.72,25.14,28.3,29.63,30.37,30.15,30.87,29.19,28.52,27.64,26,24.72,27.87
T2M,2016,23.96,26.08,28.88,31.43,31.1,29.31,28.9,29.4,28.87,28.47,26.53,24.37,28.11
T2M,2017,24.51,25.26,28.94,31.42,32.36,30.83,30.08,28.48,27.74,27.46,26,24.39,28.13
T2M,2018,23.65,25.06,28.08,30.92,31.15,30.54,30.23,29.78,28.73,27.48,26.37,24.74,28.08
T2M,2019,23.81,26.93,29.43,31.25,31.98,31.8,29.9,28.69,27.68,27.11,26.65,25.12,28.37
