PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,14.88,14.93,22.11,31.82,36.41,34.74,31.94,31.51,31.17,27.69,21.77,16.51,26.31
T2M,2001,13.64,18.18,24.09,29.59,35.51,34.16,32.43,31.16,30.97,27.67,21.64,16.38,26.32
T2M,2002,13.95,16.67,24.33,31.62,36.16,36.13,37.89,33.05,28.4,26.17,21.23,16.83,26.93
T2M,2003,13.62,17.07,23.17,31.11,34.15,36.7,29.87,29.07,28.08,24.6,19.19,15.55,25.21
T2M,2004,13.48,17.83,26.12,31.86,34.08,35.34,35.43,29.73,30.05,25.38,20.91,16.42,26.4
T2M,2005,13.67,16.33,23.91,28.84,34.06,37.26,31.28,32.23,28.92,24.76,19.69,14.34,25.48
T2M,2006,14.23,22.51,23.25,30.8,35.8,34.35,31.99,30.14,29.4,27.45,21.22,15.84,26.42
T2M,2007,14.35,17.44,21.74,31.33,34.57,36.01,32.8,30.11,30.16,25.44,21.24,15.12,25.89
T2M,2008,13.63,16.09,26.25,29.38,33.15,32.6,31.44,28.73,27.75,25.55,20.18,17.19,25.19
T2M,2009,15.19,18.22,24.62,29.67,35.62,36.6,35.23,32.23,28.2,24.76,19.88,15.68,26.37
T2M,2010,14.32,17.77,26.65,33.01,36.68,37.04,32.42,29.12,26.66,24.37,19.73,13.61,25.98
T2M,2011,11.57,16.63,22.67,28.76,35.77,34.95,31.95,29.55,27.27,25.14,21.19,15.33,25.1
T2M,2012,12.57,15.76,23.12,29.72,34.83,37.98,34.17,30.08,27.12,24.57,18.85,14.69,25.3
T2M,2013,11.97,15.83,22.8,29.65,35.44,34.96,31.05,28.48,27.56,24.52,18.49,14.67,24.65
T2M,2014,13.37,15.3,21.48,28.31,33.44,37.37,34.14,31.9,29.29,26.49,20.57,14.31,25.55
T2M,2015,12.62,17.95,21.32,27.89,35.01,34.92,31.24,30.15,29.47,26.76,21.68,15.76,25.43
T2M,2016,15.45,18.23,24.69,31.75,35.88,36.72,31.17,28.81,28.85,26.38,20.76,17.04,26.32
T2M,2017,14.12,17.53,23.57,31.58,35.69,34.65,31.31,30.81,28.81,26.39,19.45,15.49,25.82
T2M,2018,13.84,19.15,25.31,30.87,35.13,35.97,31.69,29.19,26.97,24.23,19.74,13.8,25.51
T2M,2019,12.65,15.26,21.15,30.72,33.61,37.48,33.55,30.25,29.65,25.45,20.98,12.57,25.31
T2M,2020,12.34,15.99,20.83,28.19,33.52,34.98,33.12,30.01,29.75,26.05,19.18,15.12,24.94
T2M,2021,12.84,18.68,25.6,29.62,32,33.58,32.15,28.98,27.12,24.08,18.01,13.3,24.69
RH2M,2000,32.06,41,21.69,11.5,24.12,41.69,61.38,62.44,45.69,25.31,24.31,23.19,34.56
RH2M,2001,35.5,24.38,19.75,25.38,28.69,47.12,60.19,62.94,44.44,29.56,20.56,28.19,35.69
RH2M,2002,39.19,38.75,23.44,13.19,19.25,35.31,28.56,53.38,63.06,44.12,32.25,35.44,35.44
RH2M,2003,45.44,48.81,30,17.56,14.56,32.62,78.44,81.12,75.12,47.12,38.19,50.5,46.69
RH2M,2004,53.12,35.62,17.25,22,29.12,37.38,41.12,73.06,53.06,49.62,37.69,39.38,40.75
RH2M,2005,48.19,49.12,45.69,20,20.12,28.44,67.75,54.44,67.38,50.5,37.38,32.69,43.5
RH2M,2006,30.62,25.62,35.94,17.5,28.38,39.75,63.88,70.44,62.06,44,39,41.62,41.75
RH2M,2007,30.81,55.62,46.62,24.88,26.88,40.94,58.81,73.06,60.56,33.75,33.44,34.12,43.25
RH2M,2008,28.69,26,17,28.25,35.5,57.75,66.06,80,73.56,59.69,48.81,43.69,47.12
RH2M,2009,45.94,35.75,25.44,22.69,21.12,25.75,46.62,62.5,68.25,47.25,45.25,41.06,40.69
RH2M,2010,38.75,38.81,21.06,14.06,16.19,26.88,63.25,81.19,83,69.62,62.19,55.31,47.62
RH2M,2011,49.44,52.81,37.06,27.06,25.75,44.06,63.31,76.44,80.69,52.62,50.06,40.19,49.94
RH2M,2012,45.94,29.88,19.12,28.25,19.25,23.56,50.81,70.75,74.69,45,39.5,38.5,40.5
RH2M,2013,40.5,54.5,38.38,26.75,15.94,43.31,69.5,81.25,72.94,66.81,48.12,48,50.5
RH2M,2014,51.19,49.06,40.94,28.75,28.75,28.38,47.94,55.94,57.56,38.56,26.56,37.25,40.94
RH2M,2015,52.12,39.25,49.5,40.81,19.06,35.44,64.5,68,48.56,37.56,35.5,26.69,43.12
RH2M,2016,29.75,24.62,31,18.81,24.38,34.62,68.75,79.94,61.12,39.31,27,27.06,39
RH2M,2017,43.81,37,27.69,18.75,22.69,42.69,65.5,65.38,58.25,36.19,37.75,37.94,41.19
RH2M,2018,32.44,29.31,23.06,24.5,21.44,38.81,66.44,77.19,76.25,56.31,47,43.56,44.81
RH2M,2019,47.38,52.19,40.25,29,25.88,27.25,56.31,73.38,70.19,54,53.94,54.38,48.69
RH2M,2020,62.38,50.12,55.69,39.38,30.81,41.5,60.06,77.88,63.06,34,36.75,39.88,49.31
RH2M,2021,53.62,38.56,26.75,19,35.06,45.12,65.56,79.75,86.69,70.69,59.06,57.94,53.25
PRECTOTCORR,2000,0.44,1.19,0.39,0.06,0.48,3.97,5.13,3.57,0.78,0,0.02,0.11,1.35
