PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,15.65,15.76,22.52,31.33,34.57,35.28,30.98,30.47,30.85,28.28,22.03,17.6,26.3
T2M,2001,14.69,18.79,24.17,29.39,34.34,33.22,29.48,28.79,30.19,27.29,21.48,17.51,25.8
T2M,2002,14.71,17.4,24.74,30.87,35.36,36.23,35.05,32.29,30.7,27.96,22,17.61,27.12
T2M,2003,14.29,17.56,23.08,30.8,33.56,34.89,30.08,29.35,28.78,25.13,20.55,16.49,25.4
T2M,2004,15.05,18.85,26.33,31.53,33.48,34.55,33.15,27.58,27.55,24.18,21.37,16.91,25.88
T2M,2005,13.86,16.87,24.5,28.81,32.67,35.15,29.93,30.88,29.57,25.83,21.5,15.91,25.49
T2M,2006,15.83,22.81,23.42,30.42,35.26,31.8,31.4,29.12,29.43,27.3,21.88,16.96,26.3
T2M,2007,15.69,18.42,22.44,31.56,34.39,35.27,30.88,29.33,28.46,25.36,22.23,15.81,25.84
T2M,2008,13.98,16.55,26.15,29.2,32.64,31.78,29.76,28.79,28.43,26.98,21.51,19.07,25.43
T2M,2009,16.4,19.41,24.84,29.62,35.04,34.92,31.94,30.94,29.28,26.36,20.65,17.23,26.42
T2M,2010,15.54,18.83,26.45,32.44,35.44,35.1,31.4,27.89,25.89,24.81,20.6,14.34,25.76
T2M,2011,12.98,17.19,23.82,29.06,34.98,34.62,30.02,27.97,26.17,24.86,21.96,15.94,24.99
T2M,2012,13.37,16.72,23.32,29.6,33.73,35.87,32.55,28.06,25.64,23.71,19.09,15.11,24.74
T2M,2013,12.55,16.15,23.51,29.37,33.95,33.26,30.41,27.29,27.24,24.98,19.47,15.94,24.55
T2M,2014,14.07,16.18,22.09,29.26,33.37,36.23,32.31,28.29,27.04,25.77,21.83,15.06,25.16
T2M,2015,13.49,18.41,21.34,27.94,34.27,33.9,30.11,29.09,29.33,26.99,21.47,16.14,25.23
T2M,2016,16.35,18.9,25.44,31.08,35.48,35.82,30.19,27.28,27.52,25.68,20.98,18.45,26.11
T2M,2017,14.71,18.58,24.01,31.24,34.33,33.58,30.58,29.01,28.57,26.83,21.07,16.76,25.8
T2M,2018,15.88,20.08,25.39,30.7,34.94,35.13,30.17,27.76,25.82,24.85,20.55,15.11,25.55
T2M,2019,13.84,16.58,22.29,30.76,33.71,35.95,31.05,27.72,27.17,24.4,21.14,13.06,24.83
T2M,2020,13.12,17.31,21.45,29.01,33.67,34.19,32.56,28.94,28.48,25.96,19.81,16.61,25.11
T2M,2021,14.69,20.25,26.51,30.12,31.98,33.51,31.58,28.03,26.78,24.46,19.53,14.85,25.21
RH2M,2000,26.5,29.06,15.19,12.81,28.75,32.75,59.44,61.62,40.25,18.31,21.38,21,30.62
RH2M,2001,26.19,18.75,17.88,21.5,31,46.94,69.81,69.75,42.19,32.38,18.69,23.62,35.06
RH2M,2002,33.38,30.62,18.38,14.5,21,30.75,36.44,50.81,39.44,27.44,25.12,29.31,29.81
RH2M,2003,39.88,39.56,24.75,17,15.69,38.69,69.38,70.5,62.94,37.88,25.56,39.38,40.12
RH2M,2004,40.12,24.62,14.06,18.88,26.69,36.44,47.12,81,67.88,53.44,35.88,36.44,40.31
RH2M,2005,41.62,38.25,32.62,17.44,22.75,33.69,69.38,56,58.12,36.94,26,23.31,38.06
RH2M,2006,24.31,22.5,32.06,16.38,25.75,47.38,60.75,69.06,57.88,41,32,38.19,39.06
RH2M,2007,25.94,48.88,36.88,18.38,20.94,38.5,62.94,69.94,63.88,30.31,24.5,31.31,39.31
RH2M,2008,25.94,21.75,16.88,25.75,34.56,56.12,68.75,70.81,63.38,40.81,33.94,30.94,40.88
RH2M,2009,39.06,29.44,22.94,18.69,21.81,31.31,58.5,61.56,52.56,37.5,37.5,37.19,37.44
RH2M,2010,34.62,28.19,20.38,14.81,18.44,32.75,63.38,82,79.19,60.69,59.5,48.12,45.31
RH2M,2011,41.06,44.88,27.62,21,24.62,40.19,67.75,80.31,82.06,47.75,44.06,36,46.44
RH2M,2012,35.19,21.19,16.31,25.12,21.88,28.81,53.19,76.94,79.12,50.44,39.62,39.5,40.69
RH2M,2013,35.31,46.5,26.69,24.19,18.38,47.81,67.31,81.88,71.12,61.31,43.81,40.06,47.06
RH2M,2014,48.88,43,34.94,22.5,27,29.94,54.38,74.31,68.5,43.5,27.75,32.19,42.31
RH2M,2015,46.19,35.31,48.94,36.81,19.88,38.94,65.44,68.81,48.5,33.19,37.19,25.81,42.19
RH2M,2016,30.81,22.25,25.56,18.44,24,35.19,69,83.25,67.44,49.88,29.75,28.31,40.44
RH2M,2017,40.62,29,25.5,17.06,26.5,45.69,63.88,70.69,56.94,28.69,27.25,31.94,38.75
RH2M,2018,26.25,25.44,20.81,21.81,19.06,37.69,68.44,78,72.25,46.06,36.75,33.69,40.62
RH2M,2019,36.19,33.12,28.81,25,23.5,31.44,64.19,83.94,83,62.06,64.12,54.38,49.25
RH2M,2020,55.12,37.25,45.5,29.94,27.06,42.56,56.56,78.19,68.56,35.81,36.56,34.38,45.69
RH2M,2021,48.44,27.25,24.12,16.44,36.69,45.62,62.88,79.5,86.5,65.06,52.56,52.25,49.94
PRECTOTCORR,2000,0.04,0.22,0.05,0.01,0.89,0.47,4.32,2.15,0.41,0.05,0.02,0.04,0.73
PRECTOTCORR,2001,0.02,0.04,0.07,0.49,1.22,2.82,6.48,2.94,0.2,0.93,0,0,1.28
PRECTOTCORR,2002,0.13,0.64,0.01,0.13,0.45,1.21,0.27,1.72,0.37,0,0.02,0.56,0.46
PRECTOTCORR,2003,0.23,1.14,0.03,0.04,0.08,2.4,5.68,3.85,2.01,0.08,0,0.3,1.32
PRECTOTCORR,2004,0.14,0,0,0.58,0.39,1.05,3.59,10.6,0.75,2.1,0.01,0.03,1.62
