PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,27.28,27.03,28.17,28.43,28.03,26.36,25.87,25.6,25.92,26.1,26.93,26.28,26.83
T2M,2001,27.58,27.85,29.4,27.98,27.94,26.68,25.71,25.75,25.96,26.3,26.48,26.55,27.01
T2M,2002,27.19,28.83,29.86,29.09,28.2,26.88,26.49,25.56,26.33,26.5,26.68,26.48,27.33
T2M,2003,27.8,28.54,29.07,29.03,28.35,26.94,25.95,26.1,26.51,26.43,26.93,26.58,27.34
T2M,2004,27.16,28.56,29.98,29.05,27.26,26.35,25.58,25.65,25.66,26.62,26.73,26.21,27.06
T2M,2005,27.33,28.15,29.33,28.07,28.43,27.17,26.03,26.15,25.92,26.37,25.81,26.08,27.06
T2M,2006,27.07,28.44,28.62,28.93,28.01,26.65,26.13,25.9,25.92,26.25,26.62,26.19,27.05
T2M,2007,27.23,28.21,29.73,29.08,28.08,26.86,26.09,25.74,25.9,25.9,26.43,26.46,27.13
T2M,2008,26.76,28.48,27.48,27.76,27.57,26.72,25.76,25.6,26.23,26.87,26.78,26.76,26.89
T2M,2009,27.21,28.73,29.26,28.9,27.8,26.59,25.91,26.15,26.17,26.69,26.73,27.08,27.26
T2M,2010,27.54,29.23,30.19,28.95,28.65,27.1,26.01,25.7,26.05,26.24,25.94,25.65,27.26
T2M,2011,26.56,27.12,28.64,28.31,28.24,26.95,25.68,25.65,26.05,26.72,26.71,26.67,26.94
T2M,2012,26.93,28.61,29.06,28.43,27.55,26.6,26.26,25.96,26.33,26.87,26.86,27.68,27.26
T2M,2013,28.3,28.51,29.44,29.83,28.42,26.48,25.63,25.65,25.97,26.23,26.73,26.39,27.29
T2M,2014,27.42,28.54,30.05,29.23,28.46,27.5,26.2,25.8,26.39,26.57,26.83,27.05,27.49
T2M,2015,27.13,28.78,29.41,28.65,28.24,27.29,26.58,26.4,26.8,27.18,26.85,26.95,27.51
T2M,2016,27.29,28.97,30.01,30.08,29.05,27.05,25.98,26.06,25.88,26.58,27,27.39,27.61
T2M,2017,27.76,28.83,28.83,29.4,28.55,27.22,26.48,26.12,26.42,26.79,27.02,26.58,27.49
T2M,2018,27.22,29.06,29.82,29.21,27.84,26.96,26.17,25.63,26.27,26.99,27.3,27.37,27.48
T2M,2019,26.97,29.5,30.32,30.23,29.16,27.94,26.8,26.23,26.66,26.79,27.64,27.49,27.96
T2M,2020,28.23,29.48,29.9,30.13,29,27.32,26.19,26.39,26.3,26.49,27.55,27.02,27.83
T2M,2021,27.1,28.11,29.67,28.78,28.03,27.27,26.34,26.05,26.51,26.63,26.4,26.68,27.3
RH2M,2000,66.06,73.5,72.38,77.12,79.69,86.38,87.69,88.88,88.81,85.5,75.38,67,79
RH2M,2001,65.75,71.69,64.81,81.38,83.56,87.12,89.81,89.75,87.25,86.56,80.94,70.69,79.94
