PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,17.67,21.37,27.06,30.9,29.5,28.73,28.33,28.09,27.37,26.23,22.78,17.19,25.44
T2M,2001,16.73,23.1,28.12,31.45,31.01,28.3,28.13,28.18,27.65,26.35,23.01,16.8,25.73
T2M,2002,18.25,21.71,27.82,31.08,32.85,29.26,28.7,27.86,27.29,25.43,21.37,18.01,25.82
T2M,2003,16.11,23.23,26.23,31.51,32.75,30.36,28.54,28.48,27.75,26.53,21.25,17.31,25.83
T2M,2004,16.98,20.63,28.18,31.1,32.81,29.55,28.42,28.08,27.27,24.92,21.4,18.73,25.68
T2M,2005,17.98,23.22,28.27,31.02,31.37,31.18,28.64,28.6,27.59,26.06,20.4,17.15,25.96
T2M,2006,17.4,23.73,28.32,31.44,30.71,29.12,28.51,27.94,27.43,26.27,22.01,17.98,25.9
T2M,2007,17.05,21.83,26.1,31.44,31.83,29.91,28.23,28.01,27.43,25.53,21.91,16.3,25.47
T2M,2008,16.96,19.25,27.14,29.84,31.49,28.58,28.08,27.94,27.22,25.68,22.06,19.46,25.32
T2M,2009,19.11,22.83,27.86,32.3,30.3,30.15,29.01,28.14,27.73,24.87,22.09,18.05,26.05
T2M,2010,16.39,22.12,29.19,32.78,30.81,30.12,28.77,28.37,27.72,26.49,24.13,17.97,26.24
T2M,2011,17.05,22.22,28.01,30.19,30.7,29.58,28.28,27.77,27.48,26.56,22.33,17.83,25.68
T2M,2012,18.31,21.42,27.58,31.1,31.98,31.52,29.06,28.32,27.62,24.26,20.11,16.05,25.62
T2M,2013,15.93,21.4,27.87,31.53,31.17,29.12,28.76,27.95,27.76,26.13,20.88,18.07,25.56
T2M,2014,16.72,20.51,26.56,32.96,32.62,30.6,28.98,28.3,27.9,26.07,20.91,16.33,25.72
T2M,2015,17.6,22.33,27.15,29.52,31.33,30.1,28.3,28.38,28.1,26.64,23.34,19.87,26.07
T2M,2016,19.53,25.15,28.23,33.35,32.02,29.94,28.55,28.23,27.72,26.05,21.19,17.8,26.47
T2M,2017,17.94,22.69,26.62,31.03,32.03,30.18,28.51,28.25,28.03,26.65,21.63,18.51,26.01
T2M,2018,15.62,21.67,27.57,29.51,30.81,29.79,29.01,28.48,27.97,25.9,22.68,17.29,25.54
T2M,2019,17.95,22.69,25.9,30.87,32.03,31.41,29.99,28.9,27.8,26.14,22.45,17.58,26.15
T2M,2020,16.8,19.33,25.58,30.25,30.14,29.15,28.8,28.69,28.19,27.2,21.85,18,25.34
T2M,2021,18.55,22.3,29.42,31.57,30.86,28.77,28.71,28.18,27.62,26.77,22.1,18.3,26.11
RH2M,2000,62.25,63.56,49.94,64.88,78.56,86.19,87.19,89.06,89.56,83,73.69,64.44,74.38
RH2M,2001,54.5,48,49.88,56.31,71.69,87.94,89.81,90.81,89.12,88.06,79.06,72.75,73.31
RH2M,2002,70.75,56,53.88,62.12,62,84.81,87.81,90.12,90,81.06,80.06,69.12,74.06
RH2M,2003,61.19,57.44,58.88,61.88,59.56,77.19,88.25,88.75,89.81,86.31,76.94,78.25,73.81
RH2M,2004,70.44,58.06,52.31,63.38,61.25,81.19,86.69,89.94,90.81,84.94,75,75.75,74.19
RH2M,2005,69.25,59,61,59.06,69.19,73.12,86.06,87.12,90.12,87.94,76.62,76.62,74.75
RH2M,2006,62.44,57.75,48.19,59.12,70.19,84.62,88.56,89.69,90.06,82.75,79.31,73.44,73.94
RH2M,2007,61.44,63.38,52.56,58.56,63,80.62,89.81,89.88,91.44,83.06,82.5,76.81,74.5
RH2M,2008,72,64.81,61.31,62.81,66.94,85.75,90.31,90.06,89.94,82.56,78.62,76.62,76.88
RH2M,2009,69.06,48.31,45.5,52.69,73.31,80,85.06,89.69,89.81,81.75,78.69,72,72.31
RH2M,2010,62.31,53,50.94,58.69,73.88,81.56,85.69,86.5,88.19,84,76.62,71.94,72.88
RH2M,2011,61.62,51.25,54.25,60.19,73,81.5,87.31,90.81,90.75,80.38,76.88,73.31,73.56
RH2M,2012,70.5,55.19,48,62.44,65.19,72.25,83.5,88,89,83.5,78.19,72.25,72.38
RH2M,2013,60.38,48.5,48.5,56,71.94,84.62,86.62,89.5,89.56,88.06,80.88,76.69,73.62
RH2M,2014,71.75,65.38,56.38,47.44,61.44,80.31,87.31,89.5,87.12,80.38,71.69,67.75,72.25
RH2M,2015,66.25,59.94,50,67.19,69.69,76.94,89.69,89.06,86.31,79.12,73.56,67,72.94
RH2M,2016,58.31,59.75,62.44,55.12,64.25,78.81,86.31,88.56,89.38,83.12,79.19,76.5,73.5
RH2M,2017,66.06,56.31,60.94,63.56,65.31,78.06,88.5,89.69,89.25,85.69,78.69,78.75,75.19
RH2M,2018,65,62.88,55.25,67.31,69.31,79.94,86,88.38,87.44,76.94,73.75,67.5,73.38
RH2M,2019,56.19,55.5,66.75,62.75,66.69,73.44,78.62,86.06,89.12,85.12,82.75,79.25,73.62
RH2M,2020,74.56,66.62,64.69,60.56,72.88,85.31,87.44,89.44,89.31,86.69,79.81,73.44,77.62
RH2M,2021,65.94,51.81,47.81,54.75,70.31,86.25,88.19,90.75,90.25,86.56,82.94,82.25,75
PRECTOTCORR,2000,0.11,1.34,0.06,2.34,6.9,7.47,9.96,7.78,6.64,3.91,0.02,0,3.89
PRECTOTCORR,2001,0,0.34,0.89,1.15,8.57,10.91,8.65,8.18,6.99,5.99,0.62,0,4.38
