PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,26.16,26.46,28.43,28.65,27.83,25.62,25.27,25.21,25.63,25.46,25.85,24.91,26.29
T2M,2001,26.55,27.56,28.44,28.01,27.76,25.87,25.04,24.85,25.28,25.8,26.12,25.15,26.36
T2M,2002,25.91,27.79,29.37,29.53,28.12,26.28,25.73,24.83,25.42,26.07,26.15,24.73,26.65
T2M,2003,26.12,28.18,29.47,29.82,29.49,26.97,25.63,25.46,25.63,26.01,26.02,25.13,26.98
T2M,2004,25.98,27.68,29.49,29.44,27.05,26.05,25.56,25.31,25.36,26.07,25.91,25.07,26.58
T2M,2005,26.53,27.85,28.92,28.73,28.98,26.71,25.78,25.44,25.33,25.76,25.23,24.97,26.68
T2M,2006,25.97,27.2,28.48,29.25,28.22,26.15,25.69,25.53,25.56,25.99,25.98,24.46,26.53
T2M,2007,25.12,26.58,28.8,29.36,28.16,26.51,25.8,25.23,25.48,25.69,25.01,25.46,26.43
T2M,2008,25.44,26.94,27.37,28.05,27.83,26.5,25.76,25.3,25.62,26.51,25.91,25.37,26.38
T2M,2009,25.94,27.84,29.01,29.38,28.26,26.37,25.65,25.69,25.76,25.9,26.14,25.56,26.78
T2M,2010,25.54,27.55,29.47,29.08,28.73,27.1,25.58,25.35,25.58,26.08,25.65,24.8,26.7
T2M,2011,24.73,25.98,28.86,28.3,28.34,26.62,25.37,25.31,25.53,26.12,25.75,25.12,26.33
T2M,2012,25.51,27.6,28.51,28.58,28.37,26.51,25.83,25.48,25.55,26.24,25.58,25.82,26.63
T2M,2013,26.16,27.62,29.12,29.31,28.65,26.1,25.19,25.26,25.19,25.89,26.2,25.04,26.63
T2M,2014,26.3,27.33,29.2,29.35,28.55,27.26,25.93,25.36,25.77,26.31,25.81,25.58,26.89
T2M,2015,25.51,27.37,28.59,28.46,28.07,26.63,26.14,25.88,26.14,26.59,26.37,26.4,26.84
T2M,2016,26.26,28.32,29.62,30.31,29.6,26.58,25.51,25.57,25.19,25.62,25.66,25.76,26.99
T2M,2017,26.6,28.05,28.83,29.44,28.82,26.76,26.1,25.69,25.91,26.21,26.13,25.55,27
T2M,2018,26.15,27.73,29.19,29.64,28.1,26.35,25.73,25.03,25.53,26.4,26.57,26.69,26.92
T2M,2019,26.25,28.19,29,30.21,29.49,27.81,26.29,25.8,25.96,25.95,26.72,26.5,27.33
T2M,2020,26.55,27.89,29.23,30.22,28.9,26.73,25.73,25.84,25.57,25.7,26.39,26.15,27.07
T2M,2021,26.34,26.82,29.35,29.11,27.77,26.63,25.81,25.66,25.87,26.33,25.94,25.54,26.76
RH2M,2000,64.38,65.06,60,70.69,75.56,88.44,88.75,89.06,88.38,85.62,74.19,62.75,76.06
RH2M,2001,61.12,61.69,60,75.25,79.75,88.5,91.44,91.38,87.62,84.56,77.56,67.69,77.31
RH2M,2002,65.44,59.81,61.12,67,80.31,88.12,88.69,91.62,85.88,86.56,77.75,66.06,76.62
RH2M,2003,64.5,61.75,60.81,66.88,70.25,84.56,91.69,90.62,87.38,85.12,75.38,65.06,75.44
RH2M,2004,64,57.12,62.38,67.94,85.06,88.44,88.44,89.31,87.5,83.12,75.12,64.06,76.12
RH2M,2005,64,58.56,61.81,73.12,71.75,87.19,91.31,90.69,89.94,86.75,76.94,73.31,77.19
RH2M,2006,63.81,54.44,63.06,64.62,77.19,88.5,89.12,89.12,89.12,85.25,82.69,70.25,76.56
RH2M,2007,66.06,62.88,63.56,69.88,77.38,87.75,90.5,90.5,89.62,85.5,74.94,70.81,77.56
RH2M,2008,62.56,63.38,70.06,75,76.31,86.69,89.69,89.81,86.25,79.38,73.31,68.69,76.81
RH2M,2009,61.69,60.81,64.38,68.25,76.12,85.5,90.75,89.69,89.81,82,81.62,76.88,77.38
RH2M,2010,70.75,64.31,62.88,73.19,78.81,85.5,89.31,91.5,88.75,86.31,84.62,77.38,79.5
RH2M,2011,67.44,62.5,61.25,71.5,75,86.5,89.94,90.5,88.38,83.62,75.69,67.38,76.69
RH2M,2012,64.88,57,63.12,71.94,73.69,84.88,89.19,89.12,87.62,81.56,76.75,71.19,75.94
RH2M,2013,63,63.06,62.19,64.5,74.06,89.19,91,90.06,88.75,85.88,77.19,68.31,76.5
RH2M,2014,65.44,62.12,58.44,69.06,76.06,85.69,90.31,90.56,88.62,84,73.06,72.5,76.44
RH2M,2015,65.31,57.94,66.25,72.12,80.56,87.25,88.25,89.69,86.56,82.06,78.62,72.31,77.38
RH2M,2016,63.06,62.62,62.81,65,72.69,86,90.31,89.25,88.81,82.31,73.44,64.62,75.12
RH2M,2017,58.12,56.69,61.12,66.38,75.12,85.62,88.44,90.12,88.56,83.69,76.62,68.94,75.06
RH2M,2018,62.75,54.62,60.81,67.25,78.88,87.62,90,90.94,85,80.5,73.69,67,75.06
RH2M,2019,55.25,56.94,59.88,64,68.31,81,87.69,89.88,88.56,87.81,80.5,76,74.75
RH2M,2020,69.75,60.5,63.12,65.75,77.94,86.06,89.69,89.94,89.06,86.19,78.88,74.44,77.69
RH2M,2021,71.06,64.31,62.44,70.62,83,85.88,90.06,88.75,88.88,86.94,85.88,76.94,79.69
PRECTOTCORR,2000,0.18,0.25,0.01,0.59,6.47,31.95,17.3,16.95,3.74,5.86,0.47,0.24,7.01
PRECTOTCORR,2001,0.07,0.02,0,5.34,7.75,34.2,30.17,17.86,8.87,6.62,3.32,0.07,9.57
PRECTOTCORR,2002,0.03,0.19,0.04,0.56,6.54,24.85,14.86,15.47,6.29,16.9,1.16,0.05,7.29
PRECTOTCORR,2003,0.03,0.26,0.22,1.97,0.39,41.31,26.36,16.28,5.44,6.83,1.34,0.05,8.4
PRECTOTCORR,2004,0.03,0.03,0.53,0.59,18.92,25.79,25.47,21.76,3.27,6.1,1.54,0,8.73
PRECTOTCORR,2005,0.14,0.02,0.04,2.88,2.64,29.51,34.81,18.61,12.41,6.62,3.05,0.13,9.28
PRECTOTCORR,2006,0.15,0,0.36,0.18,18.03,28.72,27.27,17.56,17.3,7.88,5.85,0.02,10.33
PRECTOTCORR,2007,0.03,0.03,0.08,2.56,3.99,41.38,23.73,27.12,25.33,6.16,1.74,0.2,11.04
PRECTOTCORR,2008,0,0.13,7.21,0.79,1.92,35.37,21.51,21.34,8.71,5.28,2.49,0.13,8.75
