PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,23.43,24.17,27.58,30.73,29.22,27.58,25.98,26.09,26.26,26.33,24.71,23.32,26.28
T2M,2001,24.2,25.55,27.24,30.81,30.76,27.7,26.24,25.63,26.16,25.8,24.38,23.71,26.51
T2M,2002,22.4,26.3,29.45,31.35,31.51,28.83,26.87,25.8,25.83,26.9,25.59,24.59,27.12
T2M,2003,25.75,26.37,28.58,31,31.3,28.78,26.95,26.22,25.9,25.94,24.76,23.42,27.08
T2M,2004,23.26,26.4,30.39,30.37,30.87,27.98,26.76,25.74,26.48,25.06,25.02,23.6,26.82
T2M,2005,22.84,25.26,28.3,30.58,31.01,29.33,26.63,26.01,25.87,25.5,23.08,22.26,26.39
T2M,2006,23.42,27.49,28.19,29.7,30.6,28.24,26.02,25.46,26.09,26.44,24.64,23.55,26.64
T2M,2007,23.98,25.51,28.94,31.37,31.12,28.74,26.81,26.26,26.39,25.24,24.12,23.7,26.85
T2M,2008,22.49,24.21,28.94,30.63,30.58,27.72,26.46,25.81,25.94,25.72,24.65,24.55,26.48
T2M,2009,24.91,26.62,29.67,31.96,31.23,29.4,26.48,26.4,26.62,25.99,24.34,23.01,27.21
T2M,2010,23.57,25.06,29.46,31.36,32.13,28.51,26.73,26.37,26.57,26.61,25.75,21.47,26.97
T2M,2011,22.01,24.56,29.22,30.33,30.77,28.17,26.51,26.08,25.97,26.42,24.87,23.18,26.51
T2M,2012,21.49,25.2,27.86,30.52,30.44,29.12,26.85,26.21,25.98,26.36,23.98,23.38,26.44
T2M,2013,22.56,25.73,28.78,29.78,31.21,27.5,25.93,25.75,26.22,26.19,24.48,22.8,26.41
T2M,2014,23.17,24.78,28.5,30.8,31.47,30.47,27.19,26.19,26.18,26.62,25.09,23.06,26.97
T2M,2015,22.9,25.98,28.05,30.09,31.42,28.33,26.95,26.52,26.51,27.44,25.39,23.86,26.95
T2M,2016,23.5,25.69,29.19,30.54,31.47,29.19,26.29,25.89,25.62,24.96,23.01,23.35,26.55
T2M,2017,23.34,26.98,28.47,30.35,31.56,28.52,26.62,26.15,26.71,26.6,23.55,22.3,26.76
T2M,2018,23.08,26.05,29.21,30.9,31.4,28.57,26.3,25.73,25.94,26.89,25.8,23.37,26.94
T2M,2019,23.38,25.35,28.07,30.89,31.05,29.83,26.93,26.27,26.32,26.38,25.17,23.87,26.96
T2M,2020,21.66,25.23,27.63,31.58,32.21,28.11,26.94,26.34,26.51,26.93,24.85,23.22,26.76
T2M,2021,24.23,25.39,29.89,31.08,30.71,27.82,26.85,26.2,26.21,26.26,25.43,22.4,26.87
RH2M,2000,48.25,50.81,42.88,55.69,70.88,84.19,88.5,88.44,86.12,78.38,63.69,44.56,66.88
RH2M,2001,45.81,41.56,55.56,49.69,62.44,81.94,89,90.94,87.69,80.19,66.56,56.44,67.5
RH2M,2002,51.06,39.31,43.44,50.12,60.44,78.06,85.12,89.88,85.75,71.75,57,48.75,63.56
RH2M,2003,43.25,48.12,42.19,52.44,58.44,79.75,89.81,89.5,88.94,76,69.81,56.44,66.31
RH2M,2004,51.94,38.88,37.19,57.25,62.81,81.31,87.25,90.62,87,76.69,66.5,54.44,66.06
RH2M,2005,49.5,46.69,48.5,48.5,59.81,76.12,91.12,90.19,92.06,76.81,66.81,58.5,67.19
RH2M,2006,49.38,38.5,48.25,56.88,63.94,81.62,91.12,91.56,90.44,79.38,74.56,62.12,69.12
RH2M,2007,51.56,53.69,42.44,50.88,60.12,81.25,89.75,90.81,89.62,73.5,67.94,60.69,67.75
RH2M,2008,47.12,39.25,44.62,51.94,61.44,84.12,89.38,90.31,88.88,75.06,67.69,58.06,66.56
RH2M,2009,50.12,39.81,42.19,47.75,58.56,73.06,90.44,89.44,88.69,75.62,75.12,67.12,66.69
RH2M,2010,56.94,50.5,47.12,53.25,59.88,84.19,91.5,91.06,88.75,81.88,82.31,70.69,71.62
RH2M,2011,56.69,51.19,39.44,55.12,60.94,82.5,90.06,91.38,88.56,79.06,66.69,58.62,68.44
RH2M,2012,54.44,35.88,37.5,53.44,61.19,74.69,88.75,90.31,89.06,78.44,67.31,63,66.31
RH2M,2013,53.44,49.81,43,55.75,60.31,86.5,91.69,89.81,88.62,81.94,71.12,60.88,69.5
RH2M,2014,56.69,48.56,45.31,48.88,56.56,68.06,86.69,90.44,86.88,75.31,66.94,54.5,65.5
RH2M,2015,53.25,43.69,50.25,56.38,61.25,80.62,86.62,87.44,84.44,75.81,69.44,52.5,66.94
RH2M,2016,45.5,50.56,47.94,53.75,61.38,77.31,91.19,90.75,90,78.81,61.06,53.94,66.88
RH2M,2017,48.62,37.75,47,53.12,59.12,82.31,89.94,89.94,88.38,77.19,67.12,66.62,67.44
RH2M,2018,54.31,44.69,42.81,51.31,59.19,81.81,91,89.94,85.44,69.38,58.75,46.25,64.69
RH2M,2019,34.69,40.44,44.19,52.88,58.19,73.56,90.81,90.75,91.38,84.44,78.5,76.81,68.19
RH2M,2020,67.56,49.88,49.38,51.19,57.25,83,90.19,92.31,90.12,82.69,76.06,69.38,71.69
RH2M,2021,61.62,48.19,37.56,50.88,65.31,86.38,89.69,88.88,91.12,81.31,78.94,75.25,71.38
PRECTOTCORR,2000,0,0,0,0,8.75,10.46,26.47,11.69,3.26,2.05,0.15,0.36,5.31
PRECTOTCORR,2001,0,0,0,0.05,0.94,17,20.07,13.86,5.2,3.88,0.2,0,5.14
PRECTOTCORR,2002,0,0,0.02,0.07,0.28,16.63,4.09,18.77,2.92,0.56,0.09,0.01,3.63
PRECTOTCORR,2003,0,0.3,0,0.03,0,23.67,18.87,12.28,7.77,1.64,0.04,0.01,5.4
PRECTOTCORR,2004,0.01,0,0,0,2.98,12.57,21.4,30.63,7.5,0.88,0.14,0,6.39
PRECTOTCORR,2005,0.11,0,0.01,0.45,0.5,26.64,35.33,13.94,25.88,2.43,0,0,8.8
PRECTOTCORR,2006,0,0,0.31,0,6.05,14.72,36.21,33.96,12.97,4.6,0.8,0.01,9.23
PRECTOTCORR,2007,0,0.01,0,0.28,0.17,30.08,22.78,19.66,15,0.18,0.24,0,7.38
PRECTOTCORR,2008,0,0,0.22,0.01,0.11,23.6,20.23,22.52,17.11,1.17,0.09,0.22,7.11
PRECTOTCORR,2009,0,0,0.1,0.02,0.07,7.4,33.95,13,9.25,6.68,3.65,0,6.24
PRECTOTCORR,2010,0.01,0,0.19,0.02,0.38,22.09,34.46,28.14,8.29,6.3,2.19,0,8.58
PRECTOTCORR,2011,0,0.01,0,0.23,0.07,11.68,35.26,20.32,11.62,5.38,0.01,0,7.12
PRECTOTCORR,2012,0,0,0,0.08,0.06,7.95,18.81,12.44,13.6,6.6,0.01,0,4.99
PRECTOTCORR,2013,0,0.24,0.03,0,0.01,31.07,28.6,7.55,10.49,2.86,0.14,0.07,6.77
PRECTOTCORR,2014,0.02,0.02,0.13,0.07,0.41,2.53,42.18,20.38,8.75,0.93,0.65,0.61,6.48
PRECTOTCORR,2015,0.03,0.42,1.3,0.06,1.1,26.82,9.09,3.94,10.27,2.32,0.98,0,4.68
PRECTOTCORR,2016,0.01,0.72,0.1,0.06,0.3,17.85,32.56,22.07,20.21,3.24,0,0,8.12
PRECTOTCORR,2017,0,0,0.06,0.01,0.44,20.03,32.65,21.46,15.74,4.37,0.03,1.53,8.08
PRECTOTCORR,2018,0.07,0.23,0.05,0.03,0.17,18.03,31.28,13.66,3.3,0.7,0.22,0.01,5.69
PRECTOTCORR,2019,0.01,0.01,0.02,0.12,0.01,15.14,34.95,21.51,30.96,6.21,1.78,0.09,9.28
PRECTOTCORR,2020,0.01,0.01,0.13,0.18,0.27,15.42,25.2,38.81,12.04,5.81,0.02,0.39,8.25
PRECTOTCORR,2021,0.17,0.38,0,0.25,10.65,21.84,33.97,12.24,18.99,2.34,1.7,2.24,8.78
